CustomerID,Recency,InvoiceNo,Monetary,cluster
000nan,0,1373,1716830.53,2
012346,325,1,77183.6,1
012747,1,11,4196.01,1
012748,0,209,33719.73,2
012749,3,5,4090.88,1
012820,2,4,942.34,1
012821,213,1,92.72,1
012822,70,2,948.88,1
012823,74,5,1759.5,1
012824,59,1,397.12,1
012826,2,7,1474.72,1
012827,5,3,430.15000000000003,1
012828,2,6,1018.71,1
012829,336,2,293.0,1
012830,37,6,6814.64,1
012831,261,1,215.05,1
012832,31,2,383.03,1
012833,144,1,417.38,1
012834,282,1,312.38,1
012836,58,4,2612.86,1
012837,172,1,134.1,1
012838,33,2,683.13,1
012839,2,14,5591.42,1
012840,143,4,2726.77,1
012841,4,25,4022.35,1
012842,69,2,1118.99,2
012843,65,8,1702.26,1
012844,28,2,325.96000000000004,1
012845,266,4,354.09,1
012847,21,1,871.54,1
012849,30,2,1050.8899999999999,1
012851,96,1,135.18,1
012852,294,1,311.55,1
012853,134,6,1957.1000000000001,1
012854,78,3,1324.5,1
012855,372,1,38.1,1
012856,7,6,2179.93,1
012857,210,2,1106.4,1
012863,51,1,521.2,1
012864,137,1,147.12,1
012867,25,7,4036.82,1
012868,185,6,1607.0600000000002,1
012871,83,2,380.64,1
012872,326,2,599.97,1
012873,281,1,374.0,1
012875,142,2,343.2300000000001,1
012877,3,12,1535.77,1
012878,235,2,854.99,0
012879,44,3,573.22,1
012881,275,1,298.0,1
012882,8,2,1463.04,1
012883,24,4,703.47,1
012884,87,1,309.05,1
012885,62,3,1175.22,1
012886,67,2,1378.4,1
012888,213,2,354.12,1
012890,23,1,380.46999999999997,1
012891,185,3,331.0,1
012893,30,1,188.14,1
012895,41,2,372.8,1
012897,204,2,216.5,1
012901,8,28,17654.54,1
012902,264,1,138.68,1
012904,17,2,509.58,1
012906,11,5,2919.81,1
012908,175,2,750.0,1
012909,39,5,2178.67,0
012910,22,8,3075.04,1
012912,2,5,1662.3,1
012913,4,5,2483.63,1
012915,148,2,363.65,1
012916,138,4,3006.15,1
012917,127,1,594.0,1
012919,7,6,1335.19,1
012920,16,1,164.23,1
012921,8,37,16587.09,1
012922,160,1,405.38,1
012923,63,1,176.97,1
012924,87,4,933.7,1
012925,4,2,694.05,1
012928,34,5,2062.7000000000003,1
012929,311,1,117.85,1
012930,77,2,415.8,1
012931,21,15,42055.96,1
012933,23,3,607.53,1
012935,1,7,2160.7,1
012936,16,4,1063.9,1
012937,14,4,1504.27,1
012938,25,1,114.14,1
012939,63,8,11581.8,1
012940,54,2,913.54,1
012942,130,3,683.9,1
012944,35,2,604.51,1
012945,287,1,462.95,1
012947,143,6,1603.99,1
012948,15,7,2064.95,1
012949,30,8,4167.22,1
012950,1,3,1843.0,1
012951,8,6,1064.07,1
012952,5,4,1387.79,1
012953,9,1,329.85,1
012955,0,11,4757.16,1
012956,305,1,108.07,1
012957,9,8,4017.54,1
012962,6,2,266.39,1
012963,7,8,1856.63,1
012965,88,1,771.91,2
012966,9,1,160.18,1
012967,357,2,1660.9,1
012968,111,1,135.95,1
012970,6,4,452.24,1
012971,3,86,11189.91,1
012974,197,1,144.8,1
012976,211,1,738.6,1
012977,155,1,39.239999999999995,1
012980,157,9,7374.900000000001,1
012981,29,2,372.21999999999997,1
012982,242,1,390.54,1
012984,18,1,97.5,1
012985,0,2,1239.38,1
012987,73,2,558.7,1
012988,291,1,535.32,1
012989,2,15,6924.110000000001,1
012990,30,3,409.5,1
012991,22,2,503.76,1
012993,22,4,414.76,1
012994,3,3,974.4200000000001,1
012995,84,1,211.32,1
012997,21,4,1226.89,1
012999,195,3,455.88,1
013000,106,3,534.85,1
013001,3,13,9818.82,1
013002,317,1,120.94999999999999,1
013003,105,3,149.05,1
013004,11,18,5655.91,0
013005,173,2,513.7,1
013006,55,1,81.57,1
013008,322,1,229.46999999999997,1
013011,371,1,50.550000000000004,1
013012,8,8,1661.8400000000001,1
013013,0,13,4810.9400000000005,1
013014,10,10,3466.2799999999997,1
013015,52,5,3346.28,1
013016,72,3,789.89,1
013017,6,1,204.0,1
013018,15,28,7277.7,1
013021,3,9,2616.38,1
013023,63,2,689.9,1
013026,0,5,975.36,1
013027,113,6,6912.0,1
013028,22,2,661.3199999999999,1
013029,30,3,1247.5,1
013030,10,2,799.48,1
013032,51,2,1010.18,1
013033,356,1,190.55,1
013034,54,2,642.77,1
013035,73,2,921.88,1
013037,137,3,881.07,2
013038,79,3,908.46,1
013040,8,2,676.99,1
013043,272,1,516.42,1
013044,290,1,560.47,2
013045,98,1,305.28000000000003,1
013046,30,2,629.31,1
013047,31,10,3237.54,1
013048,13,4,1835.91,1
013049,63,2,656.6800000000001,1
013050,14,17,5836.86,1
013052,211,1,348.15000000000003,1
013055,77,3,1214.41,1
013058,24,3,271.40000000000003,1
013059,249,1,183.4,1
013060,253,1,307.53,1
